"Name","Start","End","Duration","Domain"
"https://www.udemy.com/coding-for-entrepreneurs/#lecture/340150","7/10/2013 7:37:50 AM","7/10/2013 7:37:56 AM","0:00:06","www.udemy.com"
"https://mail.google.com/mail/u/0/?shva=1#inbox","7/10/2013 8:26:46 AM","7/10/2013 8:26:53 AM","0:00:07","mail.google.com"
"https://mail.google.com/mail/u/0/?shva=1#inbox/13fc7b6d1f0a3510","7/10/2013 8:26:53 AM","7/10/2013 8:27:00 AM","0:00:07","mail.google.com"
"http://answers.suunto.com/answers/7064-en_us/product/SS019562000/question/960934/redirect.htm","7/10/2013 8:27:00 AM","7/10/2013 8:27:06 AM","0:00:06","answers.suunto.com"
"http://www.suunto.com/en-US/Products/Sports-Watches/Suunto-Ambit2/Suunto-Ambit2-Black-HR/?utm_campaign=bazaarvoice&utm_medium=Default&utm_source=AskAndAnswer&utm_content=Default","7/10/2013 8:27:06 AM","7/10/2013 8:27:16 AM","0:00:10","www.suunto.com"
"http://www.suunto.com/en-US/Products/Sports-Watches/Suunto-Ambit2/Suunto-Ambit2-Black-HR/?utm_campaign=bazaarvoice&utm_medium=Default&utm_source=AskAndAnswer&utm_content=Default#lightTab","7/10/2013 8:27:16 AM","7/10/2013 8:31:39 AM","0:04:23","www.suunto.com"
"https://mail.google.com/mail/u/0/?shva=1#inbox","7/10/2013 8:31:39 AM","7/10/2013 8:31:44 AM","0:00:05","mail.google.com"
"http://www.movescount.com/scoreboard","7/10/2013 8:31:44 AM","7/10/2013 8:31:52 AM","0:00:08","www.movescount.com"
"http://www.movescount.com/moves/move15698317","7/10/2013 8:32:04 AM","7/10/2013 8:32:15 AM","0:00:11","www.movescount.com"
"C:\Users\John\Downloads\Move_2013_07_09_18_58_28.xlsx","7/10/2013 8:33:28 AM","7/10/2013 8:34:09 AM","0:00:41","Move_2013_07_09_18_58_28.xlsx"
"http://www.manictime.com/Support/NewInstall","7/10/2013 9:36:15 AM","7/10/2013 9:36:24 AM","0:00:09","www.manictime.com"
"https://docs.google.com/spreadsheet/ccc?key=0AgMNKVcN0KSwdE9BQU90cHBKRzl1VVFXS1RGb01nTlE#gid=5","7/10/2013 9:36:24 AM","7/10/2013 9:36:31 AM","0:00:07","docs.google.com"
"https://github.com/neuropil/moralecon","7/10/2013 9:36:31 AM","7/10/2013 9:36:40 AM","0:00:09","github.com"
"https://github.com/neuropil","7/10/2013 9:36:40 AM","7/10/2013 9:36:48 AM","0:00:08","github.com"
"http://www.r-bloggers.com/","7/10/2013 9:37:10 AM","7/10/2013 9:37:51 AM","0:00:41","www.r-bloggers.com"
"http://www.r-bloggers.com/2013-7-advanced-svg-graphics-from-r/","7/10/2013 9:37:51 AM","7/10/2013 9:37:59 AM","0:00:08","www.r-bloggers.com"
"http://stattech.wordpress.fos.auckland.ac.nz/2013-7-advanced-svg-graphics-from-r/","7/10/2013 9:37:59 AM","7/10/2013 9:38:15 AM","0:00:16","stattech.wordpress.fos.auckland.ac.nz"
"https://www.stat.auckland.ac.nz/~paul/Reports/leaf/leaf.html","7/10/2013 9:38:15 AM","7/10/2013 9:39:40 AM","0:01:25","www.stat.auckland.ac.nz"
"http://cran.r-project.org/web/packages/gridSVG/index.html","7/10/2013 9:39:40 AM","7/10/2013 9:39:52 AM","0:00:12","cran.r-project.org"
"https://www.stat.auckland.ac.nz/~paul/Reports/leaf/leaf.html","7/10/2013 9:39:52 AM","7/10/2013 9:39:57 AM","0:00:05","www.stat.auckland.ac.nz"
"http://stattech.wordpress.fos.auckland.ac.nz/","7/10/2013 9:39:57 AM","7/10/2013 9:40:25 AM","0:00:28","stattech.wordpress.fos.auckland.ac.nz"
"http://www.r-bloggers.com/","7/10/2013 9:40:25 AM","7/10/2013 9:40:37 AM","0:00:12","www.r-bloggers.com"
"http://www.engadget.com/","7/10/2013 9:40:37 AM","7/10/2013 9:41:56 AM","0:01:19","www.engadget.com"
"http://www.engadget.com/","7/10/2013 9:42:10 AM","7/10/2013 9:42:46 AM","0:00:36","www.engadget.com"
"http://www.engadget.com/page/2/","7/10/2013 9:42:46 AM","7/10/2013 9:44:58 AM","0:02:12","www.engadget.com"
"http://www.engadget.com/page/3/","7/10/2013 9:44:58 AM","7/10/2013 9:45:54 AM","0:00:56","www.engadget.com"
"http://www.engadget.com/page/4/","7/10/2013 9:45:54 AM","7/10/2013 9:46:04 AM","0:00:10","www.engadget.com"
"https://docs.google.com/spreadsheet/ccc?key=0AgMNKVcN0KSwdE9BQU90cHBKRzl1VVFXS1RGb01nTlE#gid=5","7/10/2013 9:46:04 AM","7/10/2013 9:46:16 AM","0:00:12","docs.google.com"
